ACZY;GFGRATZBSGUVZIFNHYXWJSJAVWAUXPANNAMXJDVZUH;1983;114
AFCOMVNTMDHZXLEFPPYEBEOEQ;LBIIMOFGXEIRPBTYWQZAPKK;1999;21
AZCPKHKTKYDZIVCUYPURFMBISG;KJGHCWMBMXRMHUYFYQGAJQKCKLZNAYXQKQOYZWMYUB;2018;723
BLHWBAFBGARCSF;PDQSVMTERD;1972;696
BOXVYNFHKSTCENAUMNDDXFDMVZCAUTDCCKXAAYDZSXTTOBBG;MONXRQYJZGINRNNZWACXXAEDRWUDXZRFUSEWJ;1971;755
BYVECMPESROMDXL;RJVBVCCEFKBEMGSDYMZMMKWDEHFKRU;2015;523
CAQPTONEQLNBTO;TAGIENATJZWXCLKKUL;2001;438
CCXHUUYYHTGDGLFCIEBDUTOEUNFHDAXPHBSYWZTPWJNGJN;WWQQTMIUUYVGAIHFS;1975;159
CHLHT;OUAHGXJHZJBEPLTTRIABWUCRJMBVBOZVMXOBATKHQS;2019;809
CSAETLGBFVIOCFWXWDRNLFFBFH;Y;2007;355
CWHLSYOYHGMGOPPRZAXQMOMSYHGAGIUPJQBZXT;EMSFZBHZFNWYWMXXGDPYLRAXGLMTBIYLB;1983;773
CZTWZZV;OUBVJSEBALWNKSVLOIDZFPIRW;2005;113
DBAMRYKBOKMWGSDDPQKRZYJCHZTMIEPAGW;WVZXTCTHYNMUXQKWWMTFISGGLGCOXPIPY;2012;94
DIISPQNZOMCWVAPTGRGDFNY;IOZIOIUOZXQTIHWAUROQRDQWCVLXZIP;1974;659
DUPKCZLHWUSKDNEVDCPLBKLPJMPFDCY;OTAKUDKP;1988;335
DYRUUMQADJE;MIVAZXZMCOJDHISWKAXIAGTUTAFRSVPPHURAAAIXZT;2007;127
EI;LXUKWYZCPRSKWGXULSUCKBSEP;2019;701
EVQGXIEPJSRDZJAZUJLLCHHB;GNKEUFDXOTOGBGXPEYANFETCUKEPZSHKLJUGGGEKJDQZJEN;1978;350
EYQSVKPAMS;NJRDOYJWPYATM;1994;950
FLUWZKCTKAGXKSMFAUWINSJLSOJ;HUJZUMIGOFHWBK;1975;436
FZKVATXDKNLYJYHFIXJSWNKKUFNUXXZRZBMNMGQ;XCOK;2004;290
GFMZKGIPDFODKJMJQ;CDWRA;2004;771
GSFNPCUZSRUPCHYNVZHCPQUGRIWNIQXDFJPW;LMSQSGHMCPHELSOTFL;1998;981
GWWYEOZLUHMGABBSQRHCRTXMJVCAXXSUFAHYYAYZKHUHJRJSVO;PMOXBYUYOPQJKZTVJGKWXKEWPZHBJSUTHSYOEF;1999;367
HHLQQRZUDLTFZOTCJTNZXUGLSDSMZCNO;PUUHGXPQNJWJMWAXXMNS;2015;141
HJZ;MUCZFSKUIDUBURISWTBRECUYKABFCVKDZEZTOIDUK;2006;670
HNEFNJ;FLDUUVEOOWQCU;1996;712
HNRLYJIWT;BAFAZJOHQSSWTORCKQAXSR;2017;854
HQKVCSWJEBKR;KKXLC;1991;22
HRCBLDVGYLWGBUSBMBORXTLHCSMPXO;RTESJWHDIZCOBZCNFWLQIJTVDWV;2008;296
HROUOYSRW;YDWPBSZXSBZIYRVGQMLUNWSCPIRZFCBTSEPLKGWF;1985;874
HYQMFEVSDCOMRYH;J;1974;964
IDWMTPBNMQUIOPIWPUWCZDAPDZGHAVVIYIROJNOLSOWRMVV;CV;1995;826
IJIPFION;KIMWZOBIWYBXDUUNFSKSRSRTEKMQDCYZJEEUHMSRQCO;2012;45
IOEWQVQRTCDLPQMVJIFVGYMKGOTZJMNZQTMRPNDEVNMTHJITSS;KYNAYYRBAQMYJHZXNDSIYFSEXW;2000;763
IRNAWONYDWWVUABUQCIMCNLHQODEMAKMUNMAXIOMKEYWCO;ZUKJWOCYHZQJZDHTBRRRLLKTCHFNCT;1996;602
IXJWZZTDJ;RYYESHQLZMREWQNKQITXGIIGQUSKWTCZNLTERXBLTZYDYZVAHN;2006;677
K;IIGVIJSUXIICAAH;1978;273
KJDUHSJAFBTLKMFQRMYJFJNHHSSQCTYDTEAMDCJBPRHTNEGY;PUOQHIMVFVUZWYVIJGFUL;1996;41
KLDACLLTE;JGMHCMHGDNMPHNQKAMHURKTRFFACLVGRZ;2018;685
KNHFXAXQXKJLZZQTSJFAEEDFUUJKOLXJO;MOIJOIVVGOBQPNCKWVNHKEBMTDHVYGKJISUXHATMUUDQBH;1977;826
KPXINOVGZDTHUNWOOXVJJMPSVKNHKWJOPMMLEBKSUCVZQL;TNKNTAR;1987;468
LNTXMRJXXWTLGGKYTBIOLYDNILQADOJSKKVFXAHHJMBOCLJARI;WAFXWHGBIBABVQOPQFOVIUSSQFQWEHTXDZUJ;2000;117
LRKVWPNVGZM;WZOLHU;2014;431
LXAPEMVBQLZSVXZ;JGHECQUDOSRTJXYAAYKQRXYCRXUWJXNPQJNBKCPDMOK;1981;248
MBSZTSSHFROEFWSJRXJHGUZYUPZWWEIQURPI;WTBVTREHBBCPXIFBXVFBCGKCFQCKCOTZGKUBMJ;1972;497
MOWGRGONUATDQL;VFEPVLHVHRWTFDUKXFFJPSSWYXLIJJHEVRYXOZBAFP;1992;997
MXCDBHU;NIVFJZAUQFDFTGMOPSRGPUGXTUHLCVSPIHAZRSSFSZWXBQMUR;1997;192
NCRSWS;WCLDVDXROPBYJZWYYOJUOTHWMLVRGLFZDZDBTUBXUOFF;1999;948
NFGFRCCLMZNMJUGWWBSQFCIHUBS;VVPJGOJOGLMKXGBFCPYPCKQCHBDDZWRXBZMQRLXVOBTWHXG;1991;761
NFQJVXIOHNJ;SCIEDPIWLAQIGESJSQHSJLRGLMWANRXRFNWAKZTGJHXA;2005;31
NIMKKASVWSRENZKYCXFXTLSGYPSFAD;FM;1976;366
OJURSQGSC;FRTWQQEOJUEQBNSKWZEEWZK;2015;685
OTTCJTUEGMPQKCDBBGCKJQTEBICHZNPPRQISWB;LKOZFKMMXTYVOXHFKXOPVYBJZOXHZUBDNTOAM;2015;437
OZVSRTKJPREPGGXRPNRVYSTMWCYSYYCQPEVI;GHUMEAYLNLFDXFIRCVSCXGGBWKFNQDUXWFN;1987;42
PBHLPUDOEMN;ULNLWXQWWZDGDJGEQW;1981;543
PBNPLJVRVIPYAMYEHWQNQRQPMXUJJLOOVAOWUXWHMS;EFXZBCOEJUVPVABOYGPOEYL;1994;774
PENEMWBORIFSUQHCESKMKHSSMV;BLKPNPEELFJMTKUQPZOMWNLMBUPMKTLPTNDMPDSYDSGV;1981;998
PKWQYU;JOPARMOWZDQYOXYTJBBHAWDYDCPRJBXPHOO;2013;451
POXMWHHWEWNVCBVDKUZ;LTJQVCCLPEZTSJPYNZFROT;1977;460
PPHKUHSXORPUFWHJRUTKSSLHLRXLYDXVKOSAGGMPB;QKHWUDBCIHPQWAQZXUGKVAKVLAVKSWFZSDBVQIDHTBCDEYT;2017;424
PZSQMETOGEPSPXNVJIUPALYYNMKMNUVKL;YCGFIEOWQRWW;2009;583
QAMNFHWFGEOHSKKEFUTXXI;SWRICMZSXAV;1990;671
QIZLZKLNISSAMQAZHLNDNV;KDMZOIZGQIPZAYIXRYDWSOVHZTKGZSKWPTKQCEXRNNXSKYWN;1982;881
QSOEMUVNPPPSUACBAZUXMHECTH;DPSZRNAVYMMTATBD;2006;890
QUVPTTEYHTLQLBBBVO;UCPABQSEFFUNQPKFNNBECBBCJPDYJLIBITLLPLXELRDKEXD;1974;589
RBLI;VXRLLIVFEDKJIGAVYXJVEQVRBACUIGAIPYHBBXIPBZNCW;1977;540
RJPCGDJDRWDNPOSRJGDRQRVQTVPP;UOWKVFCCOCKVRJB;1992;650
RNAPLQY;QWWTBKDOGKEMHIBYXRNXSXRZLETBQEXKRQOI;2003;862
ROQYLOBCWQXKZM;AKUBNFGU;1990;522
RUDMPHMECKOTRWOSPOFGHFOZQVLQFXWWKMFXDYYGMDCASZSGOV;RCQAYBNEFXNXVGZEDYYHNGYC;2010;954
RUSVOJBRZMWZPOWKJILEFRAAMDI;ZHNBNFUVQNQQLRZJPXIOGVLIEXDZUZOSR;1989;479
RXBGFCBCEYHJU;FAJFRMXOTHOWKBJZWUCWLJFRIMPMYHCHZRIWKB;1990;514
RXXGVZQMEYROVFI;RUEICUFDIAMHTKBXOTD;1988;112
RYKXJZUB;KFCMOFISFRFQGVPMVORPJFZSLZMPJJNE;1994;597
S;WCMBVBHRMLOWPJBWYVWTGTOQNMICXAPZARKNNXTUUFARZROSDQ;2014;759
SRKE;GGYLJDDJHMLTEDZLO;2015;743
SRQTMKNEPBHOWEJAZHKWCMMTPIXXXLZQYSXTWWTAIDYA;ZUVLDVYBSUXKBMFZVRTNOVIDZNPGHOZVAFMSNSNQIVMVUBCWT;2013;772
TAUQGNDMPHWZYIAYABJRQGEPPXYJS;APPWGZPDPYZKZCVBNTCVFXSXPJAOXTFHVXXYTGOKRCXA;1994;653
TEUVCZVICTHRXSXCLPRGDLWXFAI;CVVVTRFFVPEKKQMCUPRYJA;1977;24
TMITNQWTOETONXWZG;P;1979;494
TONPYZWOTKGNGUPHPKXEATOWZABSDN;LEPRXIBEXXYFVSDDYGTHCUYYFWPJSFYBGLGZMBINTATTNHO;1998;916
ULDRCHJCCDYRFVVRIVUYEEGFIVDRCYGURQD;NIHREQGJFWKJSMTPJHAEFQZA;2018;832
VJLNI;HYCWMFYAQQIANNYHQOUIZVEAVGZJWOBLSGWN;2005;818
VLZYLNTRKDC;ETLYHNKOAUGZQRCDDIUTEIOJWAYYZPVSCMPSAJLFVGUBFAA;2000;625
VQYECZTOZOABNANHRRBDDNDOD;TTJZPPKWLBMJAHTPUTIEBPBBMUEGYRHLTHXWGJPRWVHSHZY;1972;139
VSLONOASRUDRNLDKLD;KOIAFMEICGGUZXHRDJZZHERUSWAV;2009;132
WE;RPUNKDMBP;1970;489
WEAAFJEQIOZPYFAUUQMVHXKMNXMSYAMPTLZ;XOQPTQ;1970;454
WGEFHJESVHTIZIOJ;SHYMDO;2007;141
WGNMIKDWICKDI;HWMHLVBYPECJEIWWSTNEUIQUBPGU;1979;566
WKIFYGTYDHACWYHSGEWZMTGONZLTJHG;GCJWLGRSMEAEARWTVJSJBAOIOJLWHYPNVRUIHO;1996;70
XHUQMJICBMUSQDKLASOLWJXPTXXEUMZ;WUDWDFZLKTBQDXGYYIUDSJVEZKMESBJLKYERTAHN;1990;659
XMMYSPNARAEWKEGJCCVHHRJVBJTSQDJOOTGPKN;RGZVXDHPOAMVAFYRARXSVKHTQDIHERSIGBHZJZU;2016;723
XPHQLSRZIHMGZRIOQRQETKZFBL;GCEZWAPQRVLWIGROVJCDZ;1977;168
XPSWCGMMVEDEWDMFNQWCUQDSCILIQECIHLUILGMFCS;CLFKCYZOBGHTUOXRAJVPRECWG;1994;810
YXCSZPOKLWJDR;JQMVNKYRTNSJVWZXSSQXNJOMUYJNJUWRSYXWQ;2017;582
ZADJXWXQMNDHLDTTXSKNXTEZNJSQTFBCCFQMWHB;IFKLGKLRNUWKMSYQCPUIVAHQATMSCKMAALKICSNXUCOVTYKRXA;2004;183
ZIKFOBUCDHTHXDJGKJELRLPAXAMCEROSWITDPTPCCLIFKELJY;ZZZBFKQDP;1979;882
ZKHDKCRFVBEIYIPVFVPZHYUJ;TLSLWUHTFQJRRWBWHMQ;2015;384
